,name,description,price,unique_id
0,panasonic black lumix 10.1 megapixel digital camera dmcfz28k,panasonic black lumix 10.1 megapixel digital camera dmcfz28k 10.1 megapixel 27 - 486mm f/2 .8 -4.4 leica dc lens 2.7 ' tft lcd display ( 230k dots ) 18x optical zoom intelligent auto mode burst mode auto angle detection 50mb built-in memory black finish,,0
1,sanus 15 ' 32 ' flat panel tv black wall mount mf209b1,sanus 15 ' 32 ' flat panel tv black wall mount mf209b1 mf209b1 supports up to 60 lbs easy to install virtual axis 3d tilting system black finish,96.0,1
2,canon charger and rechargable aa battery kit 1169b001,canon charger and rechargable aa battery kit 1169b001 charge indicator light 2500 mah capacity rating nickel metal-hydride technology black finish,,2
3,olympus stylus 1050 sw black digital camera stylus1050swb,olympus stylus 1050 sw black digital camera stylus1050swb 10.1 megapixel shockproof waterproof up to 10 ft. freezeproof 3x optical zoom 2.7 ' lcd display 41.6 mb internal memory tap control feature face detection 27 shooting modes continuous shooting high iso sensitivity in-camera panorama movie mode black finish,,3
4,sony 26 ' bravia m-series black lcd flat panel hdtv kdl26m4000,"sony 26 ' bravia m-series black lcd flat panel hdtv kdl26m4000 1366 x 768p resolution advanced contrast enhancer circuit ( ace ) bravia engine fully digital video processor atsc/ntsc tuner with qam 9,000:1 dynamic contrast ratio 3d comb filter black finish",,4
5,canon eos rebel xs black digital slr camera xsreb1855b,canon eos rebel xs black digital slr camera xsreb1855b 10.1 megapixel cmos sensor digic iii image processor auto lighting optimizer 7-point af with center cross-type sensors 3.0 fps continuous shooting 2.5 ' tft lcd monitor eos integrated cleaning system dust delete data detection black finish,,5
6,panasonic silver lumix wide angle lens digital camera dmctz5s,panasonic silver lumix wide angle lens digital camera dmctz5s 9.1 megapixel leica 28mm wide-angle lens with 10x optical zoom 3.0 ' lcd display with intelligent lcd function burst mode scene mode auto angle detection 27mb built-in memory sd memory slot silver finish,,6
7,canon powershot silver digital camera sx110is,canon powershot sx110 is silver digital camera sx110is 9.0 megapixel 10x optical zoom lens with optical image stabilizer technology 3.0 ' lcd display digic iii image processor face detection motion detection 20 shooting modes including 8 special scene modes red-eye correction automatic iso settings print-share button power by aa batteries for convenient silver finish,,7
8,nikon d700 digital slr digital camera d700body,"nikon d700 digital slr digital camera d700body 12.1 megapixels fx-format cmos sensor continuous shooting up to 5 frames per second 3 ' super-density 920,000-dot vga color monitor two live view shooting modes rugged magnesium-alloy construction 51-point af with 3d focus tracking dynamic integrated dust reduction system 1,005-pixel 3d color matrix metering ii scene recognition system black finish body only",,8
9,panasonic 5.8 ghz black expandable digital cordless phone system kxtg4324b,panasonic 5.8 ghz black expandable digital cordless phone system kxtg4324b 4 handsets system digital answering machine ringer id call waiting caller id voicemail hold mute clock alarm led lighting night mode speakerphone intercom 11 days standby 5 hours talk time black finish,,9
