,title,manufacturer,price,unique_id
0,britannica deluxe,avanquest software,29.95,0
1,print workshop 2007,valusoft,19.99,1
2,scrabble complete ( jewel case ),encore,9.99,2
3,power production storyboard artist 4,power production,,3
4,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,4
5,tlc dr. seuss reading learning system 2008,encore,19.99,5
6,microsoft virtual pc for mac 7.0 with windows 2000,microsoft,249.99,6
7,adobe indesign cs3 upgrade [ mac ],adobe,199.0,7
8,adobe creative suite cs3 design standard upsell [ mac ],adobe,899.0,8
9,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,9
10,marine aquarium & goldfish screen saver by encore software,encore software,,10
11,instant immersion ingles audio deluxe,topics entertainment,,11
12,microsoft word 2004 upgrade ( mac ),microsoft,109.99,12
13,apple aperture 1.5,apple,299.0,13
14,adobe creative suite cs3 web standard upgrade [ mac ],adobe,399.0,14
15,adobe creative suite cs3 design premium upsell,adobe,1599.0,15
16,microsoft works suite 2006,microsoft,99.0,16
17,zero-g pro pack for garageband ( appleloops ),zero-g,169.95,17
18,math success deluxe 2006,topics entertainment,49.99,18
19,clifford the big red dog thinking adventures,scholastic,9.99,19
20,high school advantage 2008,encore,39.99,20
21,quickbooks premier edition 2007 5 user multi-pack,intuit,1499.95,21
22,learning quickbooks 2007,intuit,39.95,22
23,hoyle mahjongg ( jewel case ),encore,9.99,23
24,century software tinyterm plus v. 4.0 complete product,century software,,24
25,high school advantage 2007,encore software,29.95,25
26,adobe creative suite cs3 design standard upgrade,adobe,399.0,26
27,sims 2 nightlife expansion pack,aspyr media,34.99,27
28,the print shop 22 pro publisher deluxe sb cs by the print shop,encore software,99.95,28
29,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,29
30,microsoft office 2004 professional ( mac ),microsoft,499.99,30
31,employee appraiser 5.0 deluxe mailer,global marketing,394.6,31
32,microsoft visio standard 2007 version upgrade,microsoft,129.95,32
33,adobe photoshop cs3 upgrade [ mac ],adobe,199.0,33
34,reader rabbit learning system 1st grade,encore software,29.99,34
35,adobe creative suite cs3 production premium upgrade,adobe,799.0,35
36,microsoft data analyzer 2002,microsoft,179.0,36
37,filemaker mobile 8 for palm os and pocket pc,filemaker,69.0,37
38,punch 5 in 1 home design,punch ! software,39.99,38
39,adobe photoshop cs3 extended upgrade [ mac ],adobe,349.0,39
40,adobe after effects cs3,adobe,999.0,40
41,emedia essential bass guitar,emedia,19.95,41
42,cross stitch design studio ( jewel case ),m-and-r-technologies,9.99,42
43,microsoft office & windows training,topics entertainment,29.99,43
44,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,44
45,omnioutliner professional 3.0,csdc,69.95,45
46,microsoft virtual pc for mac 7.0 with windows 2000,microsoft,249.99,46
47,tomb raider : legend,eidos interactive,19.99,47
48,punch ! professional home design suite,punch ! software,69.99,48
49,axis & allies collector 's edition,encore,19.99,49
50,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,50
51,punch ! professional home design,punch ! software,89.99,51
52,learning quickbooks 2007,intuit,39.95,52
53,hoyle solitaire ( jewel case ),encore,9.99,53
54,adobe photoshop elements 4.0 ( mac ),adobe,89.99,54
55,middle school advantage 2008,encore,39.99,55
56,adobe after effects cs3,adobe,999.0,56
57,civilization iv warlords ( mac ),aspyr media,29.99,57
58,essential business tools 2.0,valusoft,19.99,58
59,adventure workshop 4th-6th grade 7th edition,encore software,19.99,59
60,microsoft virtual pc for mac 7.0 with windows 2000,microsoft,249.99,60
61,adobe creative suite cs3 design standard upsell [ mac ],adobe,899.0,61
62,microsoft onenote 2007,microsoft,99.95,62
63,instant immersion french deluxe 2.0,topics entertainment,49.99,63
64,adobe creative suite cs3 production premium upgrade,adobe,799.0,64
65,instant immersion italian deluxe 2.0,topics entertainment,49.99,65
66,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99,66
67,microsoft windows vista ultimate upgrade [ dvd ],microsoft,259.95,67
68,microspot x-rip ( mac ),microspot ltd,349.99,68
69,system care professional,avanquest,49.95,69
70,adobe premiere pro cs3,adobe,799.0,70
71,wild photo effects ( jewel case ),on-hand-software,9.99,71
72,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,72
73,extensis smartscale 1-user pxe-11433 ),extensis corporation,,73
74,john deere : busy days in deerfield valley,destineer publishing,19.99,74
75,quickbooks pro 2007 for mac ( mac ),intuit,199.95,75
