,title,manufacturer,price,unique_id
0,resume writer deluxe,,12.9,0
1,printshop 20 pro publisher,,34.9,1
2,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59,2
3,power production power production storyboard artist v4 .2 software animation software,,749.0,3
4,adobe indesign cs3 for mac academic,,192.99,4
5,encore software 13871 tlc reader rabbit 1st grade learning system 2008,,17.97,5
6,microsoft windows vista business 32-bit oem,,149.99,6
7,adobe cs3 design premium upgrade,,619.99,7
8,adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96,8
9,29270077 adobe creative suite 3 web standard product upgrade package 1 user upgrade,,843.15,9
10,encore marine aquarium 2.0,,19.99,10
11,topics entertainment instant immersion hawaiian audio,,12.05,11
12,microsoft ( r ) access 2007,,109.99,12
13,apple ilife 06,,70.47,13
14,adobe cs3 design standard academic,,385.99,14
15,adobe cs3 design standard upgrade windows,,413.99,15
16,microsoft 164-04052,microsoft,90.24,16
17,garageband jampack rhythm section ( mac ) apple,,99.99,17
18,elementary school success deluxe 2006,,12.95,18
19,clifford the big red dog reading pack,,19.95,19
20,encore software 12380 high school advantage 2008 win 2000 xp vista,,34.97,20
21,intuit quickbooks premier professional services edition 2007 software win tax & finance software,,349.95,21
22,quickbooks simple start 2007 intuit,,99.99,22
23,encore software 10023 hoyle mahjongg ( win 98 me 2000 xp ),,7.47,23
24,sony creative software sound forge audio studio v. 8.0 complete product,,46.47,24
25,high school success deluxe 2006,,7.9,25
26,adobe indesign cs3 for mac upgrade,,205.99,26
27,sims 2 season expansion pack,,37.99,27
28,encore software 10731 the print shop 22 pro publisherdeluxe sb cs by the print shop,,81.97,28
29,adobe ( r ) photoshop ( r ) 7.0 upgrade for pc,,679.99,29
30,microsoft office basic edition 2003 license and media,,124.95,30
31,aust-0150-005 employee appraiser deluxe v. 5.0 complete package 1 user download -,,231.81,31
32,microsoft word 2004 upgrade for mac os x apple & mac software,,108.95,32
33,adobe illustrator cs3 ( mac ),,599.0,33
34,reader rabbit 1st grade,,17.9,34
35,adobe cs3 after effects upgrade,,306.99,35
36,microsoft w87-02380 office sbe 2007 win32,,400.34,36
37,filemaker pro 8.5,,285.99,37
38,punch software 14100 punch ! professional home design suite for windows,punch software,62.99,38
39,adobe ( r ) photoshop ( r ) album 1.0,,49.88,39
40,adobe cs3 after effects academic,,329.99,40
41,emedia music corp emedia blues guitar legends,,24.81,41
42,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59,42
43,microsoft windows xp home edition sp2 oem,,95.99,43
44,microsoft office and windows training professional,,29.99,44
45,web easy ( r ) professional 6,,49.99,45
46,microsoft ( r ) windows ( r ) xp home edition with sp2,,199.99,46
47,eidos interactive 40022 tomb raider : legend ds 788687400220,,19.8,47
48,punch software pro home design suite,,61.8,48
49,encore inc family tree maker version 16 collectors edition,,85.07,49
50,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,50
51,punch software 35100 punch ! professional home design suite ( small box ),punch software,62.99,51
52,quickbooks ( r ),,103.99,52
53,total 3d home deluxe ( jewel case ) ( jce-th6 ),,9.59,53
54,adobe ( r ) photoshop ( r ) album 1.0,,49.88,54
55,elementary advantage 2007,,12.95,55
56,adobe soundbooth cs3,,205.99,56
57,sid meiers civilization iii for pc,,7.99,57
58,essential business tools 2.0,,9.95,58
59,encore software 10118 adventure workshop 4th-6th grade 7th ed sb cs by riverdeep,,17.97,59
60,microsoft windows vista ultimate upgrade,,239.95,60
61,adobe indesign cs3 for mac upgrade from pagemaker,,205.99,61
62,microsoft ( r ) office standard 2007,,399.99,62
63,instant immersion spanish 2.0 topics,,19.99,63
64,adobe cs3 design premium upgrade,,619.99,64
65,instant immersion japanese 2.0,,22.43,65
66,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59,66
67,microsoft windows vista business ( pc ),,299.99,67
68,microspot macdraft professional edition,,249.99,68
69,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),,157.36,69
70,adobe premiere pro cs3,,825.99,70
71,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59,71
72,microsoft money 2007 home and business ( pc ),,89.99,72
73,onone software pxe-11433 pxl smartscale elect 1-user english mac/win,onone software,158.99,73
74,john deere : busy days in deerfield valley by bold games,,21.99,74
75,quickbooks ( r ),,103.99,75
76,adobe premiere pro cs3 upgrade,,308.99,76
77,microsoft word 2007 upgrade ( pc ),,109.95,77
78,adobe cs3 design standard upgrade windows,,413.99,78
