,beer_name,brew_factory_name,style,abv,unique_id
0,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,0
1,Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,1
2,Centurion Barleywine Ale,Golden City Brewery,American Barleywine,,2
3,Red Toad Amber Ale,Blue Cat Brew Pub,American Amber / Red Ale,5.70 %,3
4,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,4
5,Brew Kahuna NW Red Ale,Sky High Brewing,American Amber / Red Ale,5.20 %,5
6,Imperial Moustache Red Ale,Salty Nut Brewery,American Amber / Red Ale,6.00 %,6
7,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,7
8,Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,8
9,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,9
10,Willoughby American Amber Ale,Willoughby Brewing,American Amber / Red Ale,4.90 %,10
11,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,11
12,Big Red Ale,Red Car Brewery and Restaurant,American Amber / Red Ale,5.70 %,12
13,Legends Of The Bay Giant 's Tomb,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00 %,13
14,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,14
15,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,15
16,Imperial Red Ale ( Spring Seasonal ),Edge Brewing Company,American Amber / Red Ale,8.50 %,16
17,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,17
18,Buck And Ball Double Amber Ale,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale,6.80 %,18
19,Green Lakes Organic Ale,Deschutes Brewery,American Amber / Red Ale,5.20 %,19
20,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,20
21,Barrel Aged Imperial Red,Hale 's Ales Brewery & Pub,American Amber / Red Ale,9.00 %,21
22,Heatwave Red Ale,La Quinta Brewing Co. .,American Amber / Red Ale,6.00 %,22
23,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,23
24,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,24
25,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,25
26,Ambleside Amber Ale,Bridge Brewing Company,American Amber / Red Ale,5.30 %,26
27,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,27
28,Brewmaster 's Reserve Imperial Red Ale,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,9.20 %,28
29,Tongue Buckler ( Bourbon Barrel Aged ),Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,29
30,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,30
31,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,31
32,Red Ale Priprioca,Cervejaria Amaza ' nia Ltda .,American Amber / Red Ale,6.00 %,32
33,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,33
34,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,34
35,Red Racer India Style Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,5.60 %,35
36,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,36
37,Rabbit Mountain Red Ale,300 Suns Brewing,American Amber / Red Ale,6.80 %,37
38,Red Racer India Style Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,5.60 %,38
39,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,39
40,Mountain City Amber Ale,Tommyknocker Brewery,American Amber / Red Ale,5.40 %,40
41,Red Dread Imperial Red Ale,Bitter Root Brewing,American Amber / Red Ale,8.24 %,41
42,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,42
43,Red Dirt Imperial Red Ale,Wiley Roots Brewing Co,American Amber / Red Ale,8.20 %,43
44,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,44
45,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,45
46,Thomas Hooker Old Marley Barleywine,Thomas Hooker Brewing Company,American Barleywine,10.00 %,46
47,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,47
48,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,48
49,Mountain City Amber Ale,Tommyknocker Brewery,American Amber / Red Ale,5.40 %,49
50,Batch 200 _ `` Olympus Mons Imperial Red Ale,Due South Brewing Co. .,American Amber / Red Ale,9.20 %,50
51,Easy Amber Ale,Scottsdale Beer Company,American Amber / Red Ale,5.70 %,51
52,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,52
53,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,53
54,Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,6.50 %,54
55,Three Sheets Barleywine ( Syrah Barrel Aged ),Ballast Point Brewing Company,American Barleywine,9.00 %,55
56,Barrel Aged Imperial Red,Hale 's Ales Brewery & Pub,American Amber / Red Ale,9.00 %,56
57,Amber Ale With Spanish Orange,Dangerous Man Brewing,American Amber / Red Ale,6.00 %,57
58,Sledgehammer Imperial Red Ale,Cambridge Brewing Company,American Amber / Red Ale,7.75 %,58
59,Starlord 's Mixtape / Groot Drank Imperial Red Ale,Charging Hippo Brewing Co. .,American Amber / Red Ale,8.20 %,59
60,Elevator Barrel Aged Barley Wine ( Bar Bar ),Elevator Brewery & Draught Haus,American Barleywine,11.00 %,60
61,Big Red Balls,Hillcrest Brewing Company,American Amber / Red Ale,8.00 %,61
62,BJ 's Imperial Red Ale,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,9.00 %,62
63,Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,63
64,Red Fox Amber Ale,Rogue Ales,American Amber / Red Ale,,64
65,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,65
66,Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,66
67,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,67
68,Mount Washington Organic Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,,68
69,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,69
70,Aqula American Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,4.50 %,70
71,Ulysses Imperial Red Ale,Barley 's Brewing Company,American Amber / Red Ale,,71
72,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,72
73,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,73
74,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,74
75,Lower De Boom Barleywine,21st Amendment Brewery,American Barleywine,11.50 %,75
76,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,,76
77,Good Medicine Strong Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,7.50 %,77
78,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,78
79,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,79
80,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,9.90 %,80
81,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,81
82,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,82
