,beer_name,brew_factory_name,style,abv,unique_id
0,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,0
1,Sierra Andina Alpamayo Amber Ale,Sierra Andina,Amber Ale,5.80 %,1
2,Golden City Centurion Barleywine Ale,Golden City Brewery,Barley Wine,11.20 %,2
3,Baird Red Rose Amber Ale,Baird Brewing Co. .,California Common,5.40 %,3
4,Liberty Street Red Glare Amber Ale,Liberty Street Brewing Company,Amber Ale,5.20 %,4
5,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Cigar City Brewing,Irish Ale,5 %,5
6,Phillips Double Dragon Imperial Red Ale,Phillips Brewing Co. .,American Strong Ale,8.20 %,6
7,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,7
8,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,8
9,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,9
10,Willoughby American Amber Ale,Willoughby Brewing Co. .,Amber Ale,5.50 %,10
11,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,11
12,Big Bear Lake Sidewinder Red Ale,Big Bear Lake Brewing Company,Amber Ale,8.50 %,12
13,Legends of the Bay Giant_s Tomb,Hockley Valley Brewing & Malting Company,Amber Ale,5 %,13
14,Brannon_s Deputation Imperial Red Ale,Brannon_s Pub and Brewery,American Strong Ale,8.79 %,14
15,Salty Nut Bee Transfixed Honey Amber Ale,Salty Nut Brewery,Amber Ale,5.50 %,15
16,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,16
17,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,17
18,Fox and Hound Red Fox Amber Ale,Anheuser-Busch InBev,Amber Ale,5.10 %,18
19,Deschutes Green Lakes Non-Organic Ale,Deschutes Brewery,Amber Ale,6.40 %,19
20,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,20
21,Intuition Barrel Aged Riverside Red,Intuition Ale Works,Amber Ale,7.80 %,21
22,La Quinta Brewing Co. . Heatwave Red Ale,La Quinta Brewing Co. .,Amber Ale,6 %,22
23,Big Island Red Giant Ale,Big Island Brewhaus,American Strong Ale,6.50 %,23
24,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Rock Bottom Orland Park,American Strong Ale,7.60 %,24
25,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,8.50 %,25
26,Bridge Ambleside Amber Ale - Pomegranate & Galena Hops,Bridge Brewing Company,Amber Ale,5.30 %,26
27,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,27
28,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,28
29,23rd Street Pumpkin Ale Bourbon Barrel Aged,23rd Street Brewery,Specialty Grain,,29
30,Genesee Brew House American Red Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5 %,30
31,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %,31
32,Amazon Beer Priprioca Red Ale,Amazon Beer,Amber Ale,6 %,32
33,Big Time Lift Ticket American Red Ale,Big Time Brewery,India Pale Ale &#40; IPA &#41;,7 %,33
34,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,American Strong Ale,9.20 %,34
35,GoodLife Redside India Red Ale,GoodLife Brewing Company,India Pale Ale &#40; IPA &#41;,6 %,35
36,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,American Strong Ale,,36
37,Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,Figueroa Mountain Brewing,American Strong Ale,8 %,37
