,title,authors,venue,year,unique_id
0,the aqua approximate query answering system,"s acharya , p gibbons , v poosala , s ramaswamy",sigmod conference,1999,0
1,dynamic itemset counting and implication rules for market basket data,"s brin , r motwani , j ullman , s tsur",sigmod conference,1997,1
2,selectivity estimation in spatial databases,"s acharya , v poosala , s ramaswamy",sigmod conference,1999,2
3,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,3
4,a shrinking-based approach for multi-dimensional data analysis,"y shi , y song , a zhang",vldb,2003,4
5,a unified framework for enforcing multiple access control policies,"s jajodia , p samarati , v subrahmanian , e bertino",sigmod conference,1997,5
6,fault tolerant design of multimedia servers,"s berson , l golubchik , r muntz",sigmod conference,1995,6
7,smooth - a distributed multimedia database system,"h kosch , l bіszіrmщnyi , a bachlechner , c hanin , c hofbauer , m lang , c riedler , r tusch",vldb,2001,7
8,xquery : a query language for xml,,,2003,8
9,a taxonomy for secure object-oriented databases,"m olivier , s solms",acm trans . database syst .,1994,9
10,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,10
11,the case for enhanced abstract data types,"p seshadri , m livny , r ramakrishnan",vldb,1997,11
12,eos : exactly-once e-service middleware,"g shegalov , g weikum , r barga , d lomet",vldb,2002,12
13,an asymptotically optimal multiversion b-tree,"b becker , s gschwind , t ohler , b seeger , p widmayer",vldb j.,1996,13
14,semantics for update rule programs and implementations in a relational database management system,"l raschid , j lobo",acm trans . database syst .,1996,14
15,implementation aspects of an object-oriented dbms,"a dogac , m altinel , c ozkan , i durusoy",sigmod record,1995,15
16,microsoft site server ( commerce edition ),b ojjeh,sigmod conference,1999,16
17,relaxed transaction processing,"m singh , c tomlinson , d woelk",sigmod conference,1994,17
18,on efficiently implementing schemasql on an sql database system,"l lakshmanan , f sadri , s subramanian",vldb,1999,18
19,the zero-delay data warehouse : mobilizing heterogeneous databases,e kќhn,vldb,2003,19
20,a performance study of transitive closure algorithms,"s dar , r ramakrishnan",sigmod conference,1994,20
21,accessing a relational database through an object-oriented database interface,"j orenstein , d kamber",vldb,1995,21
22,keynote address,,,1995,22
23,database management systems and the internet,s malaika,vldb,1996,23
24,data compression in oracle,"m pіss , d potapov",vldb,2003,24
25,cost-based selection of path expression processing algorithms in object-oriented databases,"g gardarin , j gruser , z tang",vldb,1996,25
26,an adaptive query execution system for data integration,"z ives , d florescu , m friedman , a levy , d weld",sigmod conference,1999,26
27,query optimization in compressed database systems,"z chen , j gehrke , f korn",sigmod conference,2001,27
28,processing complex aggregate queries over data streams,"a dobra , m garofalakis , j gehrke , r rastogi",sigmod conference,2002,28
29,editor 's notes,m franklin,sigmod record,1999,29
30,guest editorial,,,2003,30
31,optimizing queries on files,"m consens , t milo",sigmod conference,1994,31
32,a database model for object dynamics,"m papazoglou , b krфmer",vldb j.,1997,32
33,guest editor 's introduction,,,2002,33
34,theory of answering queries using views,a halevy,sigmod record,2000,34
35,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,35
36,efficiently instantiating view-objects from remote relational databases,"b lee , g wiederhold",vldb j.,1994,36
37,dynamic multidimensional histograms,"n thaper , s guha , p indyk , n koudas",sigmod conference,2002,37
38,ripple joins for online aggregation,"p haas , j hellerstein",sigmod conference,1999,38
39,accessing a relational database through an object-oriented database interface,"j orenstein , d kamber",vldb,1995,39
40,computing capabilities of mediators,"r yerneni , c li , h garcia-molina , j ullman",sigmod conference,1999,40
41,a case-based approach to information integration,"m panti , l spalazzi , a giretti",vldb,2000,41
42,temporal database system implementations,m bіhlen,sigmod record,1995,42
43,niagaracq : a scalable continuous query system for internet databases,"j chen , d dewitt , f tian , y wang",sigmod conference,2000,43
44,query decomposition and view maintenance for query languages for unstructured data,d suciu,vldb,1996,44
45,data and knowledge base research at hong kong university of science and technology,"p drew , b hamidzadeh , k karlapalem , a kean , d lee , q li , f lochovsky , c shum , b wќthrich",sigmod record,1995,45
46,mining frequent patterns without candidate generation,"j han , j pei , y yin",sigmod conference,2000,46
47,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998,47
48,efficient concurrency control for broadcast environments,"j shanmugasundaram , a nithrakashyap , r sivasankaran , k ramamritham",sigmod conference,1999,48
49,congressional samples for approximate answering of group-by queries,"s acharya , p gibbons , v poosala",sigmod conference,2000,49
50,multiple-view self-maintenance in data warehousing environments,n huyn,vldb,1997,50
51,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,51
52,concurrency in the data warehouse,r taylor,vldb,2000,52
53,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,53
54,indexing and querying xml data for regular path expressions,"q li , b moon",vldb,2001,54
55,merge replication in microsoft 's sql server 7.0,b hammond,sigmod conference,1999,55
56,on computing correlated aggregates over continual data streams,"j gehrke , f korn , d srivastava",sigmod conference,2001,56
57,scientific journals : extinction or explosion ? ( panel ),"r ramakrishnan , h garcia-molina , g rossbach , a silberschatz , g wiederhold , j zijlstra",vldb,1995,57
58,sampling large databases for association rules,h toivonen,vldb,1996,58
59,structures for manipulating proposed updates in object-oriented databases,"m doherty , r hull , m rupawalla",sigmod conference,1996,59
60,parallel database systems in the 1990 's,m carey,sigmod conference,1994,60
61,bulk-loading techniques for object databases and an application to relational data,"s amer-yahia , s cluet , c delobel",vldb,1998,61
62,cq : a personalized update monitoring toolkit,"l liu , c pu , w tang , d buttler , j biggs , t zhou , p benninghoff , w han , f yu",sigmod conference,1998,62
63,vxmlr : a visual xml-relational database system,"a zhou , h lu , s zheng , y liang , l zhang , w ji , z tian",vldb,2001,63
64,xquery : a query language for xml,,,2003,64
65,editor 's notes,j widom,sigmod record,1996,65
66,guest editorial,,,2003,66
67,acm multimedia '94 conference workshop on multimedia database management systems,"p berra , k nwosu , b thuraisingham",sigmod record,1995,67
68,guest editorial,,,2003,68
69,dbxplorer : enabling keyword search over relational databases,"s agrawal , s chaudhuri , g das",sigmod conference,2002,69
70,dynamic information visualization,y ioannidis,sigmod record,1996,70
71,a case-based approach to information integration,"m panti , l spalazzi , a giretti",vldb,2000,71
72,a new sql-like operator for mining association rules,"r meo , g psaila , s ceri",vldb,1996,72
73,open issues in parallel query optimization,"w hasan , d florescu , p valduriez",sigmod record,1996,73
74,selectivity estimation in spatial databases,"s acharya , v poosala , s ramaswamy",sigmod conference,1999,74
75,engineering federated information systems : report of efis '99 workshop,"s conrad , w hasselbring , u hohenstein , r kutsche , m roantree , g saake , f saltor",sigmod record,1999,75
76,guest editorial,,,2002,76
77,multi-step processing of spatial joins,"t brinkhoff , h kriegel , r schneider , b seeger",sigmod conference,1994,77
78,"very large databases : how large , how different ?",d vaskevitch,vldb,1995,78
79,bringing order to query optimization,"g slivinskas , c jensen , r snodgrass",sigmod record,2002,79
80,dynamic load balancing in hierarchical parallel database systems,"l bouganim , d florescu , p valduriez",vldb,1996,80
81,spatial data management for computer aided design,"h kriegel , a mќller , m pіtke , t seidl",sigmod conference,2001,81
82,the mlpq/gis constraint database system,"p revesz , r chen , p kanjamala , y li , y liu , y wang",sigmod conference,2000,82
83,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,83
84,e-services - guest editorial,,,2001,84
85,optimizing queries on files,"m consens , t milo",sigmod conference,1994,85
86,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,86
87,query unnesting in object-oriented databases,l fegaras,sigmod conference,1998,87
88,relaxed transaction processing,"m singh , c tomlinson , d woelk",sigmod conference,1994,88
89,clustering categorical data : an approach based on dynamical systems,"d gibson , j kleinberg , p raghavan",vldb,1998,89
90,building knowledge base management systems,"j mylopoulos , v chaudhri , d plexousakis , a shrufi , t topaloglou",vldb j.,1996,90
91,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,91
92,constructing the next 100 database management systems,"a geppert , k dittrich",sigmod record,1994,92
93,database systems management and oracle8,c doherty,sigmod conference,1998,93
94,semantic integration of environmental models for application to global information systems and decision-making,d mackay,sigmod record,1999,94
95,caching technologies for web applications,c mohan,vldb,2001,95
96,data grid management systems,"a jagatheesan , a rajasekar",sigmod conference,2003,96
97,selective information dissemination in p2p networks : problems and solutions,"m koubarakis , c tryfonopoulos , s idreos , y drougas",sigmod record,2003,97
98,xquery : a query language for xml,,,2003,98
99,managing intervals efficiently in object-relational databases,"h kriegel , m pіtke , t seidl",vldb,2000,99
100,chair 's message,,,2003,100
101,sideway value algebra for object-relational databases,"g жzsoyoglu , a al-hamdani , i altingіvde , s жzel , ж ulusoy , z жzsoyoglu",vldb,2002,101
102,the design and implementation of a sequence database system,"p seshadri , m livny , r ramakrishnan",vldb,1996,102
103,data grid management systems,"a jagatheesan , a rajasekar",sigmod conference,2003,103
104,efficiently mining long patterns from databases,r jr.,sigmod conference,1998,104
105,advanced xml data processing - guest editor 's introduction,k aberer,sigmod record,2001,105
106,algorithms for mining distance-based outliers in large datasets,"e knorr , r ng",vldb,1998,106
107,on-line reorganization in object databases,"m lakhamraju , r rastogi , s seshadri , s sudarshan",sigmod conference,2000,107
108,qursed : querying and reporting semistructured data,"y papakonstantinou , m petropoulos , v vassalos",sigmod conference,2002,108
109,the tv-tree : an index structure for high-dimensional data,"k lin , h jagadish , c faloutsos",vldb j.,1994,109
110,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,110
111,an introduction to deductive database languages and systems,"k ramamohanarao , j harland",vldb j.,1994,111
112,a cost model for clustered object-oriented databases,"g gardarin , j gruser , z tang",vldb,1995,112
113,scalable parallel data mining for association rules,"e han , g karypis , v kumar",sigmod conference,1997,113
114,the hcc-tree : an efficient index structure for object oriented databases,"b sreenath , s seshadri",vldb,1994,114
115,research directions in biodiversity informatics,j schnase,vldb,2000,115
116,a template model for multidimensional inter-transactional association rules,"l feng , j yu , h lu , j han",vldb j.,2002,116
117,report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000,117
118,database research at the university of oklahoma,"l gruenwald , l brown , r dirckze , s guinepain , c sсnchez , b summers , s vanichayobon",sigmod record,1999,118
119,query optimization for xml,"j mchugh , j widom",vldb,1999,119
120,interview with rakesh agrawal,,,2003,120
121,grid data management systems & services,,,2003,121
122,converting relational to object-oriented databases,j fong,sigmod record,1997,122
123,object query standards,a wade,sigmod record,1996,123
124,data grid management systems,"a jagatheesan , a rajasekar",sigmod conference,2003,124
125,an algebraic approach to static analysis of active database rules,"e baralis , j widom",acm trans . database syst .,2000,125
126,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,126
127,ensuring relaxed atomicity for flexible transactions in multidatabase systems,"a zhang , m nodine , b bhargava , o bukhres",sigmod conference,1994,127
128,query flocks : a generalization of association-rule mining,"s tsur , j ullman , s abiteboul , c clifton , r motwani , s nestorov , a rosenthal",sigmod conference,1998,128
129,guest editor 's introduction,,,1998,129
130,why decision support fails and how to fix it,"r kimball , k strehlo",sigmod record,1995,130
131,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,131
132,the tpr * - tree : an optimized spatio-temporal access method for predictive queries,"y tao , d papadias , j sun",vldb,2003,132
133,metrics for accessing heterogeneous data : is there any hope ? ( panel ),"l seligman , n belkin , e neuhold , m stonebraker , g wiederhold",vldb,1995,133
