,title,authors,venue,year,unique_id
0,icicles : self-tuning samples for approximate query answering,"v ganti , ml lee , r ramakrishnan","vldb ,",2000.0,0
1,dynamic iternset counting and impficalion rules for market basket data,"s brin , r motwani , jd ullman , s tsur","acm sigmod international conference on the management of & hellip ; ,",,1
2,selectivity estimation for spatio-temporal queries to moving objects,"yj choi , cw chung","sigmod conference ,",2002.0,2
3,shrikant . mining association rules between sets of items in large databases,"r agrawal , t imielinski andr",proceedings of acm sigmod conference on management of,,3
4,stream cube : an architecture for multi-dimensional analysis of data streams,"j han , y chen , g dong , j pei , b wah , j wang , y cai","distributed and parallel databases ,",2005.0,4
5,a unified framework for enforcing multiple access control,"s jajodia , p samarati , vs subrahmanian , e bertino",acm sigmod international conference on management of,,5
6,fault-tolerant architectures for continuous media servers,", r rastogi , pj shenoy , a silberschatz","sigmod conference ,",1996.0,6
7,the mariposa distributed database management system,j sidell,"sigmod record ,",1996.0,7
8,a query language for a web-site management system,"d florescu , a levy , m fernandez , d suciu","sigmod record ,",,8
9,a taxonomy oftime in databases,"rt snodgrass , i ahn",acm sigmod international conference on the management of,,9
10,buer managementin relational database systems,"gm sacco , m schkolnick","acm transactions on database systems ,",,10
11,the case for enhanced abstract data types . 23rd vldb conf,"p seshadri , m livny , r ramakrishnan","athens , greece ,",,11
12,eos : exactly-once e-service middleware ( demo paper ),"g shegalov , g weikum , r barga , d lomet","proceedings of the 28th international conference on very & hellip ; ,",,12
13,ban asymptotically optimal multiversion b-tree,"b becker , s gschwind , t ohler , b seeger , p",the vldb,,13
14,semantic mtegrity of a relational data base system,"m hammer , d mcleod","proc . conf very large data bases , sept ,",,14
15,index configuration in object-oriented databases,e bertino,"the vldb journal the international journal on very large & hellip ; ,",1994.0,15
16,microsoft sql server 2000,k england,,2001.0,16
17,transaction-processing techniques,we weihl,"acm press frontier series ,",1993.0,17
18,implementing data cubes efficiently,"vha rajaraman , jd ullman","proc . acm sigmod ,",1996.0,18
19,the zero-delay data warehouse : mobilizing heterogeneous databases,t ag,,,19
20,a performance study of query optimization algorithms on a database system supporting procedures,a jhingran,"vldb ,",1988.0,20
21,"database management systems : relational , object-relational , and object-oriented data models",ood models,,,21
22,a keynote address,pe deegan,"the sixth annual mental health services conference of & hellip ; ,",,22
23,the piazza peer data management system,"ay halevy , zg ives , j madhavan , p mork , d suciu , i","ieee transactions on knowledge and data engineering ,",2004.0,23
24,image data compression : a review,ak jam,"proc . ieee ,",,24
25,cost-based selection of path expression in object-oriented databases,"g gardarin , j gruser , z tang",proc . 22nd international conference on very large data bases,,25
