,name,addr,city,phone,type,class,unique_id
0,` bone  's ',' 3130 piedmont road ',atlanta,404/237-2663,american,76,0
1,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755-6244,french,291,1
2,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891-7349,southwestern,68,2
3,bruno,' 240 e. 58th st. ',` new york ',212/688-4190,italian,195,3
4,` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734-0410,` steak houses ',72,4
5,` monkey bar ','60 e. 54th st. ',` new york ',212/838-2600,american,308,5
6,posto,' 14928 ventura blvd. ',` sherman oaks ',818/784-4400,italian,156,6
7,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788-,` dive american ',128,7
8,` second street grille ',' 200 e. fremont st. ',` las vegas ',702/385-3232,seafood,71,8
9,` pen & pencil ',' 205 e. 45th st. ',` new york ',212/682-8660,american,325,9
10,` cafe botanica ',' 160 central park s ',` new york ',212/484-5120,french,200,10
11,citrus,' 6703 melrose ave. ',` los angeles ',213/857-0034,californian,6,11
12,` le colonial ',' 149 e. 57th st. ',` new york ',' 212 / 752-0808 ',asian,286,12
13,` bally  's big kitchen ',' 3645 las vegas blvd. s ',` las vegas ',702/739-4111,buffets,424,13
14,` cha cha cha ',' 656 n. virgil ave. ',` los angeles ',213/664-7723,caribbean,124,14
15,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731-7547,continental,70,15
16,` le soleil ',' 133 clement st. ',` san francisco ',415/668-4848,asian,492,16
17,` drai  's ',' 730 n. la cienega blvd. ',` los angeles ',310/358-8585,french,130,17
18,` ralph  's diner ',' 3000 las vegas blvd. s ',` las vegas ',702/732-6330,` coffee shops/diners ',448,18
19,` ralph  's diner ',' 3000 las vegas blvd. s ',` las vegas ',702/732-6330,` coffee shops/diners ',448,19
20,` cafe bizou ',' 14016 ventura blvd. ',` sherman oaks ',818/788-3536,french,3,20
21,` luna si ',' 1931 peachtree rd. ',atlanta,404/355-5993,continental,405,21
22,` golden nugget hotel ',' 129 e. fremont st. ',` las vegas ',702/385-7111,buffets,440,22
23,` des alpes ',' 732 broadway ',` san francisco ',415/788-9900,french,468,23
24,tomtom,' 3393 peachtree rd. ',atlanta,404/264-1163,continental,422,24
25,` tommy tang  's ',' 7313 melrose ave. ',` los angeles ',213/937-5733,asian,167,25
26,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891-7349,southwestern,68,26
27,` ralph  's diner ',' 3000 las vegas blvd. s ',` las vegas ',702/732-6330,` coffee shops/diners ',448,27
28,bizou,' 598 fourth st. ',` san francisco ',415/543-2222,french,459,28
29,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734-0410,buffets,437,29
30,` luna si ',' 1931 peachtree rd. ',atlanta,404/355-5993,continental,405,30
31,bistango,' 1100 peachtree st. ',atlanta,404/724-0901,mediterranean,386,31
32,` mary mac  's tea room ',' 224 ponce de leon ave. ',atlanta,404/876-1800,southern,86,32
33,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788-,` dive american ',128,33
34,` la caravelle ','33 w. 55th st. ',` new york ',212/586-4252,french,39,34
35,oceana,'55 e. 54th st. ',` new york ',212/759-5941,seafood,50,35
36,boulevard,' 1 mission st. ',` san francisco ',415/543-6084,american,96,36
37,` luna si ',' 1931 peachtree rd. ',atlanta,404/355-5993,continental,405,37
38,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788-,` dive american ',128,38
39,` le colonial ',' 8783 beverly blvd. ',` los angeles ',310/289-0660,asian,144,39
40,` tommy tang  's ',' 7313 melrose ave. ',` los angeles ',213/937-5733,asian,167,40
41,dawat,' 210 e. 58th st. ',` new york ',212/355-7555,asian,32,41
42,citrus,' 6703 melrose ave. ',` los angeles ',213/857-0034,californian,6,42
43,bruno,' 240 e. 58th st. ',` new york ',212/688-4190,italian,195,43
44,` dante  's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266-1600,continental,393,44
45,` the palm ',' 9001 santa monica blvd. ',` los angeles ',310/550-8811,american,15,45
46,ciboulette,' 1529 piedmont ave. ',atlanta,404/874-7600,french,79,46
47,` binion  's coffee shop ',' 128 fremont st. ',` las vegas ',702/382-1600,` coffee shops/diners ',428,47
