,title,category,brand,modelno,price,unique_id
0,avery laser inkjet mailing labels mini-sheet 1 x 2-5 8 white 200 pack,stationery & office machinery,avery,2160,7.62,0
1,da-lite da-glas deluxe rear projection screen - 40 1 4 x 53 3 4 video format,electronics - general,da-lite,27655,1752.99,1
2,samsung ht-d5300 3d wi-fi ready home theater system,home theater,samsung,ht-d5300,298.0,2
3,da-lite da-view thru-the-wall rear projection screen - 60 x 80 video format,electronics - general,da-lite,23046,13997.99,3
4,d-link dir-412 mobile broadband wireless router,networking,d-link,dir412,119.99,4
5,v7 10 cat5e snagless network patch cable blue,electronics - general,v7,v7n3c5e-10f-blus,4.88,5
6,da-lite cherry veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format,electronics - general,da-lite,73179,167.99,6
7,centon 8gb datastick pro usb flash drive 2-pack bundle,computers,,,24.0,7
8,energizer er-p240 cordless phone battery,computers,energizer,,11.88,8
9,coby purple high-performance isolation stereo earphones cvem79pur,electronics - general,coby,cvem79pur,8.54,9
10,da-lite cherry veneer model b manual screen with matte white fabric - 96 x 96 video format,electronics - general,da-lite,73263,446.99,10
11,verbatim 94892 datalifeplus 52x cd-r media,mp3 accessories,verbatim,94892,19.88,11
12,ten one design pogo stylus for iphone 4 burnt orange,mp3 accessories,ten one design,t1-af25-407,13.49,12
13,lexmark extra high yield return pgm print cartridge - magenta,printers,lexmark,c782u1mg,214.88,13
14,lexar media lmspd8gbbsbna 8gb platinum ii memory stick pro duo card,usb drives,lexar media,lmspd8gbbsbna,22.99,14
15,microsoft lifecam hd-6000 usb hd webcam 7pd-00001,electronics - general,microsoft,7pd-00001,36.97,15
16,st. louis cardinals ipod touch 4g hard case,electronics - general,tribeca,fva4549,29.99,16
17,bond street ltd. 5 attach case aluminum 18 x 5 x 13-1 2 black silver,electronics - general,bond street ltd.,bnd416020sil,91.49,17
18,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,electronics - general,da-lite,27557,6426.99,18
19,netgear prosafe plus 8-port ethernet switch,networking,netgear,gs108e100nas,78.88,19
20,edge 8gb 4x2gb pc38500 ecc unbuffered 240 pin ddr3 kit apple,memory,edge,pe22177504,139.82,20
21,sony 16gb class 4 sd memory card,usb drives,sony,sf16n4/tqp,0.0,21
22,smead acid-free poly folder 2 fasteners 1 3 cut top tab letter manila 24 box,stationery & office machinery,,10545,42.94,22
23,da-lite cherry veneer model b manual screen with matte white fabric - 96 x 96 video format,electronics - general,da-lite,73263,446.99,23
24,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,electronics - general,zotac,zt-40604-10l,88.88,24
25,roocase executive portfolio leather case stylus for asus eee pad transformer tf101 10.1-inch,electronics - general,roocase,222057,55.99,25
26,kodak m552 dark pink 14mp digital camera bundle w 5x optical zoom 2.7 lcd display w 50 bonus prints,digital cameras,kodak,m552 pink bndl,109.0,26
27,casio exilim ex-zs10 14.1 mp digital camera black w 5x optical zoom 2.7 lcd display,digital cameras,casio,ex-zs10bk,120.0,27
28,da-lite medium oak veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format,electronics - general,da-lite,73171,167.99,28
29,case logic 48 capacity heavy duty cd wallet,electronics - general,case logic,56352,15.99,29
30,sylvania 4gb touch video mp3 player black,mp3,sylvania,smpk4230-black,35.0,30
31,bic mark-it retractable permanent marker fine red 1-dozen,stationery & office machinery,bic,pmr11-red,12.49,31
32,corsair cm2x2048-6400c5 xms2 2gb pc2-6400 800mhz 240-pin ddr2 cl5 dual channel desktop memory kit,memory,corsair,cm2x2048-6400c5,40.82,32
33,chicago cubs pink iphone 4 hard case,electronics - general,tribeca,fva4424,29.99,33
34,trodat trodat econ micro 5-in-1 message stamp dater self-inking 1 x 3 4 blue red,stationery & office machinery,,t4850l,14.47,34
35,corsair flash voyager 32gb usb 3.0 flash drive,usb drives,corsair,cmfvy3-32gb,74.88,35
36,sharpie fine point permanent markers assorted 5ct,stationery & office machinery,sharpie,30653pp,8.19,36
37,garmin fishfinder 140 with 4.7-inch display and dual-beam transducer,fish finder,garmin,fishfinder 140,90.8,37
38,edge 2gb pc3-8500 ddr3 204-pin sodimm notebook memory module,memory,edge,pe219413,22.92,38
39,da-lite da-plex unframed rear projection screen - 84 x 84 av format,electronics - general,da-lite,27503,3561.99,39
40,incipio smart feather for apple ipad 2 lime,electronics - general,incipio,ipad-228,33.25,40
41,gear head 2.4 ghz wireless optical nano mouse black,mice,gear head,mp2800blk,15.82,41
42,logitech m305 wireless mouse black,mice,logitech,910-001752,29.73,42
43,wintec filemate 2pack 4gb micro sdhc memory card with sd adapter value bundle,camera and camcorder accessories,,,12.0,43
44,lexmark e450h11a toner 11000 page-yield black,printers,lexmark,e450h11a,248.27,44
45,cta mini battery chargers for nikon en-el9 digital cameras,electronics - general,cta,mr-enel9,15.98,45
46,syba internal pci 4-port sata controller card,electronics - general,syba multimedia,sd-89300656,23.82,46
47,lexmark t650h11a black high-yield toner print cartridge,printers,lexmark,t650h11a,565.2,47
48,microsoft comfort optical mouse 3000 silver blue,mice,microsoft,d1t00011,19.95,48
49,kensington k72334us slimblade mouse with nano receiver - laser,mice,kensington,k72334us,32.88,49
50,da-lite da-view thru-the-wall rear projection screen - 58 x 104 hdtv format,electronics - general,da-lite,23074,22472.99,50
51,ocz technology vertex 2 60gb 2.5 sata ii solid state drive,hard drives,ocz technologies,oczssd22vtxe60g,119.98,51
52,da-lite hc cinema vision tensioned cosmopolitan electrol - av format 7 x 9 diagonal,electronics - general,da-lite,89892,2240.0,52
53,lexmark e450h11a toner 11000 page-yield black,printers,lexmark,e450h11a,248.27,53
54,da-lite natural walnut veneer model b manual screen with matte white fabric - 64 x 84 diagonal video format,electronics - general,da-lite,73197,261.99,54
55,comprehensive two-piece 75 precision bnc jack for rg-59 set of 25,tv accessories,comprehensive,bj-2c7559,59.25,55
56,da-lite da-glas deluxe rear projection screen - 40 1 4 x 53 3 4 video format,electronics - general,da-lite,27655,1752.99,56
57,belkin 3 cat-5e snagless patch cable blue,electronics - general,belkin,a3l791-03-blu-s,4.35,57
58,wintec filemate 16gb color mini usb flash drive aqua,usb drives,wintec,3fmsp01u2aq-16g-r,24.84,58
59,startech esata usb to sata external hard drive docking station for 2.5 hdd,electronics - general,startech,satadocku2e,29.84,59
60,da-lite da-plex unframed rear projection screen - 84 x 84 av format,electronics - general,da-lite,27503,3561.99,60
61,da-lite honey maple veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format,electronics - general,da-lite,87184,167.99,61
62,wintec filemate 16gb color mini usb flash drive aqua,usb drives,wintec,3fmsp01u2aq-16g-r,24.84,62
63,canon powershot a3300 is black 16.0 mp digital camera with 5x optical zoom 3.0 lcd 720p video w 50 bonus prints,digital cameras,canon,5035b001aa,156.54,63
64,case logic 16 laptop backpack,electronics - general,case logic,154710,39.99,64
65,iosafe rugged 500gb usb 3.0 portable external hard drive,hard drives,iosafe,pa50500u5yr,299.98,65
66,hon 500 series two-drawer lateral file black,stationery & office machinery,hon,572lp,359.94,66
67,hp color laserjet 4600 smart print cartridge magenta,printers,hp,c9723a,234.84,67
68,case logic 13.3 black neoprene notebook sleeve,electronics - general,case logic,pls-13 black,20.0,68
69,imation 26654 swivel 8gb usb2 .0 flash drive,usb drives,imation,26654,25.84,69
70,netgear wn511 rangemax next wireless-n pc-card notebook adapter,networking,netgear,wn511b100nas,58.88,70
71,amzer anti-glare screen protector for ipad 2,mp3 accessories,amzer,90786,13.88,71
72,ihome wireless optical mouse black,mice,ihome,ih-m821wb,25.56,72
73,verbatim store n go superspeed usb 3.0 portable hard drive 500gb,hard drives,verbatim,97397,69.98,73
74,verbatim 96438 2gb store n go usb 2.0 flash drive,usb drives,verbatim,96438,14.84,74
75,hp ce505xd black laserjet print cartridges 2pk,printers,hp,hp ce505xd,258.84,75
76,chief manufacturing dual swing arm lcd wall mount,furniture,chief manufacturing,,143.2,76
77,da-lite matte white model c with csr manual screen - 72 x 72 av format,electronics - general,da-lite,33403,563.99,77
78,roocase executive portfolio leather case stylus for asus eee pad transformer tf101 10.1-inch,electronics - general,roocase,222057,55.99,78
79,visiontek radeon hd6770 1gb gddr5 graphics card,electronics - general,visiontek,900368,145.0,79
80,rolodex wood tone desk pad mahogany 24 x 19,stationery & office machinery,rolodex,23390,37.94,80
81,accell proultra 2m hdmi ethernet cable,tv accessories,accell,b116c-007b-40,22.88,81
82,atrend-bbox a201-12cp b box series single-sealed 10 up-fire enclosure,car stereos,atrend,a201-12cp,60.88,82
83,lorex lne1001 easy connect network ip camera,computers,lorex,,121.84,83
84,kanguru defender 1gb v2 kdv2-1g usb 2.0 flash drive,usb drives,kanguru,kdv2-1g,39.82,84
85,startech hdmi to mini hdmi cable adapter,electronics - general,startech,hdmiacfm,14.98,85
86,epson t020201 color ink cartridge,printers,epson,t020201,27.0,86
87,da-lite matte white model c with csr manual screen - 72 x 72 av format,electronics - general,da-lite,33403,563.99,87
88,nikon coolpix s70 brown 12.1 mp digital camera with 5x optical zoom w 50 bonus prints,digital cameras,nikon,s70 brown,299.95,88
89,incipio smart feather for apple ipad 2 light blue,electronics - general,incipio,ipad-227,33.25,89
90,lexmark e450h11a toner 11000 page-yield black,printers,lexmark,e450h11a,248.27,90
91,sharpie 12pk super permanent markers black,stationery & office machinery,sharpie,33001,14.28,91
92,jwin port amplified stereo speaker case for ipad blue,portable audio,jwin,isp210blu,62.88,92
93,da-lite da-glas standard rear projection screen 72 x 96 video format,electronics - general,da-lite,27639,4448.99,93
94,belkin pro series 6 usb 2.0 5-pin mini-b cable,electronics - general,belkin,f3u138b06,7.88,94
95,flip ultra u1120 white camcorder 2 hour recording time 4gb 2nd generation,camcorders,flip video,u1120w,109.0,95
96,iomega 1tb ego desktop usb 2.0 portable hard drive - midnight blue,hard drives,iomega,34837,89.98,96
97,hp c6020b coated paper 1 roll 36-inches x 150 ft,stationery & office machinery,hp,c6020b,49.88,97
98,case logic medium slr camera bag,photography - general,case logic,133827,47.99,98
99,hp c6020b coated paper 1 roll 36-inches x 150 ft,stationery & office machinery,hp,c6020b,49.88,99
100,edge 8gb diskgo usb 2.0 flash drive silver,usb drives,edge,pe204198,10.98,100
101,endust for electronics ultimate office cleaning combo,electronics - general,endust,12886bp,64.99,101
102,sabrent usb 2.0 wireless 802.11 g adapter,networking,sabrent,nt-wghu,24.88,102
103,xantech 282d designer emitter single,stereos/audio,xantech,282d,15.88,103
104,rubbermaid techfile plastic magazine file black,storage,rubbermaid,40406ros,5.88,104
105,belkin sport armband for ipod nano black,mp3 accessories,belkin,f8z514tt064,18.88,105
106,chicago bears camera case,electronics - general,tribeca,fva2782,19.99,106
107,philips 3 high speed hdmi cable,electronics - general,philips,swv3431w/17,10.43,107
108,accell proultra 4m hdmi ethernet cable,tv accessories,accell,b116c-013b-40,29.88,108
109,brother tn110bk black toner cartridge,printers,brother,tn110bk,49.88,109
110,da-lite da-plex deluxe rear projection screen - 50 1 2 x 67 1 4 video format,electronics - general,da-lite,27562,2544.99,110
111,da-lite cherry veneer model b manual screen with matte white fabric - 96 x 96 video format,electronics - general,da-lite,73263,446.99,111
112,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,112
113,wilson jones d-ring vinyl view binder,stationery & office machinery,wilson jones,38544b,16.4,113
114,ihome wireless optical mouse black,mice,ihome,ih-m821wb,25.56,114
115,buffalo technology ministation metro 1 tb usb 2.0 portable external hard drive with integrated flex cable encryption and turbopc hd-pxt1tu2 b black,hard drives,buffalo technology,hdpxt1tu2b,99.82,115
116,da-lite da-glas standard rear projection screen 81 x 108 video format,electronics - general,da-lite,27917,5391.99,116
117,hp ce278a black laserjet print cartridge,printers,hp,hp ce278a,69.84,117
118,casio exilim ex-zs5 14.1 mp digital camera silver w 5x optical zoom 2.7 lcd display,digital cameras,casio,,100.0,118
119,iomega 2tb ego desktop usb 2.0 portable hard drive - midnight blue,hard drives,iomega,34822,122.98,119
120,da-lite dual vision tensioned cosmopolitan electrol - av format 7 x 9 diagonal,electronics - general,da-lite,84986,2346.99,120
121,quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,stationery & office machinery,quartet,2305,91.44,121
122,corsair flash voyager 32gb usb 3.0 flash drive,usb drives,corsair,cmfvy3-32gb,74.88,122
123,pendaflex straight cut conversion folders letter manila box of 100,stationery & office machinery,,16640,33.94,123
124,logitech m305 wireless mouse black,mice,logitech,910-001752,29.73,124
125,smead file folders 1 2 cut 1-ply top tab manila 100 box,stationery & office machinery,,15320,34.05,125
126,marware eco-vue for ipad,mp3 accessories,,602956006572,54.99,126
127,bell o high-speed hdmi cable with ethernet 2-meter,tv accessories,bell ' o,hd7102,69.99,127
128,lexmark 12a8425 black high-yield toner print cartridge,printers,lexmark,12a8425,302.4,128
129,iosafe rugged 500gb usb 3.0 portable external hard drive,hard drives,iosafe,pa50500u5yr,299.98,129
130,paper mate mechanical pencil starter set,stationery & office machinery,paper mate,1739312,4.87,130
131,da-lite da-plex deluxe rear projection screen - 36 x 48 video format,electronics - general,da-lite,27559,1630.99,131
132,iomega 1tb ego desktop usb 2.0 portable hard drive - midnight blue,hard drives,iomega,34837,89.98,132
133,da-lite da-glas deluxe rear projection screen - 84 x 84 av format,electronics - general,da-lite,27650,4958.99,133
134,da-lite video spectra 1.5 model b manual screen with csr - 69 x 92 video format,electronics - general,da-lite,85322,429.99,134
135,logitech wireless mouse dark fleur,mice,logitech,910001898,27.82,135
136,samsung ht-d5300 3d wi-fi ready home theater system,home theater,samsung,ht-d5300,298.0,136
137,igo ps00291-0001 keyjuice micro mini usb cable,phone accessories,igo,ps00291-0001,7.88,137
138,startech 3.5 external usb ide hard drive enclosure black,electronics - general,startech,ide3510u2,28.88,138
139,hp laserjet 53x black print cartridge,printers,hp,q7553x,164.84,139
140,hp 75 tri-color inkjet cartridge cb337wn,printers,hp,hp cb337wn140,19.47,140
141,da-lite da-plex thru-the-wall rear projection screen - 81 x 108 video format,electronics - general,da-lite,23096,10048.99,141
142,da-lite da-view thru-the-wall rear projection screen - 60 x 80 video format,electronics - general,da-lite,23046,13997.99,142
143,green onions supply 10.1 anti-glare screen protector,electronics - general,green onions supply,rt-spfg101w / m,22.88,143
144,samsung s2 640gb usb 3.0 portable external hard drive red,hard drives,samsung,hx-mta64da / g42,78.88,144
145,da-lite dual vision tensioned cosmopolitan electrol - av format 7 x 9 diagonal,electronics - general,da-lite,84986,2346.99,145
146,iosafe rugged 250gb usb 3.0 portable external hard drive,hard drives,iosafe,pa50250u5yr,249.99,146
147,thermaltake tr2 750w atx12v eps12v power supply - 110 v ac 220 v ac,electronics - general,thermaltake,,109.82,147
