,title,category,brand,modelno,price,unique_id
0,avery mini-sheets laser ink jet labels 2 x 4 inches white 100 per pack 2163,shipping labels,avery,02163,3.88,0
1,da-lite 27660 da-glas deluxe rear projection screen - 72 x 96 video format,projection screens,da-lite,,,1
2,samsung ht-c6600 blu-ray home theater system,speaker systems,samsung,ht-c6600,299.99,2
3,da-plex standard rear projection screen - 81 x 108 video format,projection screens,da-lite,,5115.0,3
4,d-link dir-632 wireless-n 8-port router,routers,d-link,dir-632,59.99,4
5,v7 cat5e snagless molded network patch cable rj45 male to male green 1-foot v7n3c5e-01f-grns,ethernet cables,v7,v7n3c5e-01f-grns,2.71,5
6,honey maple veneer model b manual screen with high power fabric - av format size 60 x 60,projection screens,da-lite,,,6
7,centon 32 gb datastick pro usb 2.0 flash drive dsp32gb-001,usb flash drives,centon,dsp32gb-001,39.84,7
8,energizer 2l76bp photo battery,camera batteries,energizer,2l76bp,3.73,8
9,coby jammerz platinum high-performance isolation stereo earphones cvem79red red,headphones,coby,cvem79red,7.35,9
10,da-lite manual 120 diagonal video format home theater wall screen with concord veneer case and matte white fabric,home audio theater,da-lite,,,10
11,verbatim 94892 700 mb 52x datalifeplus silver inkjet printable recordable disc cd-r 50-disc spindle,cd-r discs,verbatim,94892,14.15,11
12,ten one design pogo sketch stylus for ipad iphone and ipod touch silver,styli,ten,t1-ap25-102,11.12,12
13,lexmark 34 high yield black print cartridge 18c0034,inkjet printer ink,lexmark,18c0034,29.23,13
14,lexar platinum ii 32 gb memory stick pro duo flash memory card - lmspd32gbsbna,blank media,lexar,lmspd32gbsbna,69.99,14
15,microsoft lifecam cinema 720p hd webcam black,webcams,microsoft,h5d-00001,48.9,15
16,san diego chargers ipod touch 4g hard case,computers accessories,tribeca,,29.99,16
17,bond street ltd. 416020sil - 5 attach case aluminum 18 x 5 x 13-1 2 black silver,computer accessories,bond street,,,17
18,da-plex standard rear projection screen - 96 x 96 av format,projection screens,da-lite,,5912.99,18
19,netgear jgs516 prosafe 16-port gigabit ethernet switch,switches,netgear,jgs516,169.99,19
20,2gb kit 2x1gb pc3200 ecc unbuffered 184 pin ddr,computer components,edge,x8006a-pe,115.05,20
21,fujifilm 4 gb class 6 sdhc flash memory card,blank media,fuji,fujifilm 4gb sd-hc memory card,8.98,21
22,smead 11534 - file folders 1 3 cut double-ply top tabs letter manila 12 pack,,smead,,,22
23,heritage walnut veneer model b manual screen with high power fabric - av format size 60 x 60,projection screens,da-lite,,,23
24,evga geforce 210 512 mb ddr3 pci-express 2.0 graphics card video card 512-p3-1310-lr,graphics cards,evga,512-p3-1310-lr,34.88,24
25,roocase multi-angle black leather folio case cover for asus eee pad transformer 10.1-inch tf101 android tablet wi-fi,cases sleeves,roocase,,24.98,25
26,kodak easyshare m552 14mp digital camera with 5x optical zoom and 2.7-inch lcd in dark pink 4gb accessory kit,point shoot digital cameras,kodak,m552,119.95,26
27,casio exilim ex-s8 12 mp digital camera with 4x optical zoom and 2.7-inch lcd pink,point shoot digital cameras,casio,exs8pk,81.78,27
28,da-lite manual 84 x 84 diagonal square format office wall screen with cherry veneer case and matte white fabric,projection screens,da-lite,,,28
29,case logic cde-72 72 capacity heavy duty cd wallet blue,disc storage wallets,case logic,cde-72blue,14.71,29
30,rca 4gb flash mp3 player m3904 with video playback - black,mp3 players,rca,,49.68,30
31,san36701 - permanent marker retractable fine point black,printer ink toner,sanford,,2.68,31
32,corsair cm2x2048-6400c5 xms2 2gb pc2-6400 800mhz 240-pin ddr2 cl5 desktop memory module,memory,corsair,cm2x2048-6400c5,29.7,32
33,philadelphia phillies pink iphone 4 hard case,computers accessories,tribeca,,23.99,33
34,trodat e4850l - trodat econ micro 5-in-1 message stamp dater self-inking 1 x 3 4 blue red,laminating supplies,trodat,,,34
35,corsair flash voyager 16 gb usb 2.0 flash drive cmfusb2.0-16gb,usb flash drives,corsair,cmfusb2.0-16gb,19.99,35
36,sharpie 35074 - permanent marker extra fine point assorted 4 set,microphones accessories,sharpie,,22.34,36
37,humminbird piranhamax 160 4-inch waterproof fishfinder and dual-beam transducer,fishfinders,humminbird,407230-1,89.99,37
38,crucial ct25664bc1067 2gb 204-pin pc3-8500 sodimm ddr3 memory module,memory,crucial,ct25664bc1067,9.99,38
